4.7998, 0.0093, 4.7829, 0.0121
4.7822, 0.0126, 4.7804, 0.0121
4.7758, 0.0116, 4.7633, 0.0156
4.7284, 0.0154, 4.6831, 0.0193
4.6655, 0.0184, 4.6179, 0.0239
4.6269, 0.0214, 4.5786, 0.0262
4.6014, 0.0225, 4.5389, 0.0312
4.5717, 0.0265, 4.5125, 0.0341
4.5435, 0.0274, 4.5510, 0.0289
4.5039, 0.0335, 4.4479, 0.0326
4.4580, 0.0332, 4.3892, 0.0459
4.4087, 0.0366, 4.3551, 0.0426
4.3812, 0.0429, 4.2698, 0.0536
4.3391, 0.0433, 4.3176, 0.0526
4.2919, 0.0511, 4.2314, 0.0517
4.2717, 0.0483, 4.2153, 0.0511
4.2412, 0.0544, 4.1211, 0.0629
4.2056, 0.0583, 4.0746, 0.0748
4.1732, 0.0610, 4.0551, 0.0762
4.1582, 0.0643, 4.0476, 0.0829
4.1334, 0.0668, 4.0055, 0.0827
4.1059, 0.0699, 4.0218, 0.0850
4.0769, 0.0715, 3.9893, 0.0874
4.0608, 0.0763, 3.9647, 0.0850
4.0257, 0.0800, 3.8990, 0.0987
3.9979, 0.0820, 3.8728, 0.1010
3.9946, 0.0852, 3.8538, 0.1049
3.9519, 0.0879, 3.8716, 0.0991
3.9429, 0.0911, 3.8556, 0.0968
3.9283, 0.0971, 3.8509, 0.1024
3.9163, 0.0971, 3.8190, 0.1111
3.8968, 0.0991, 3.8154, 0.1003
3.8736, 0.1045, 3.8292, 0.1070
3.8638, 0.1056, 3.8186, 0.1192
3.8466, 0.1065, 3.7626, 0.1134
3.8271, 0.1107, 3.7465, 0.1186
3.8276, 0.1136, 3.7444, 0.1250
3.8028, 0.1121, 3.7636, 0.1159
3.7707, 0.1157, 3.6896, 0.1290
3.7651, 0.1186, 3.6430, 0.1363
3.7527, 0.1170, 3.6906, 0.1215
3.7458, 0.1238, 3.6976, 0.1350
3.7204, 0.1260, 3.5973, 0.1438
3.7132, 0.1300, 3.5819, 0.1506
3.6977, 0.1261, 3.5923, 0.1464
3.6814, 0.1275, 3.5877, 0.1471
3.6770, 0.1306, 3.5817, 0.1475
3.6543, 0.1337, 3.5445, 0.1514
3.6384, 0.1392, 3.5572, 0.1512
3.6151, 0.1393, 3.6013, 0.1435
3.6171, 0.1398, 3.5344, 0.1587
3.6050, 0.1403, 3.5579, 0.1489
3.5806, 0.1458, 3.6065, 0.1479
3.5857, 0.1481, 3.5629, 0.1521
3.5764, 0.1488, 3.4780, 0.1687
3.5540, 0.1471, 3.5039, 0.1589
3.5254, 0.1548, 3.5335, 0.1545
3.5387, 0.1502, 3.4514, 0.1735
3.5130, 0.1589, 3.4939, 0.1633
3.5065, 0.1538, 3.4853, 0.1726
3.4868, 0.1625, 3.4699, 0.1695
3.4914, 0.1602, 3.4764, 0.1643
3.4703, 0.1656, 3.4276, 0.1824
3.4790, 0.1644, 3.4608, 0.1670
3.4582, 0.1661, 3.4351, 0.1708
3.4505, 0.1662, 3.3966, 0.1799
3.4501, 0.1695, 3.4323, 0.1716
3.4407, 0.1718, 3.5527, 0.1527
3.4120, 0.1742, 3.4290, 0.1768
3.4171, 0.1731, 3.4194, 0.1797
3.3961, 0.1761, 3.3664, 0.1834
3.3956, 0.1778, 3.4105, 0.1772
3.3967, 0.1752, 3.3902, 0.1899
3.3803, 0.1760, 3.3768, 0.1857
3.3866, 0.1814, 3.3760, 0.1849
3.3598, 0.1808, 3.3543, 0.1924
3.3563, 0.1807, 3.3875, 0.1822
3.3407, 0.1821, 3.3892, 0.1816
3.3114, 0.1921, 3.4375, 0.1739
3.3168, 0.1903, 3.3348, 0.1951
3.3225, 0.1857, 3.3870, 0.1840
3.3144, 0.1862, 3.3799, 0.1828
3.3028, 0.1915, 3.3672, 0.1886
3.2767, 0.1966, 3.3186, 0.2002
3.2772, 0.1968, 3.2873, 0.1951
3.2683, 0.1968, 3.3539, 0.1909
3.2592, 0.2003, 3.3526, 0.1917
3.2494, 0.2004, 3.3497, 0.1924
3.2435, 0.2029, 3.3480, 0.1949
3.2473, 0.2007, 3.3041, 0.2017
3.2456, 0.2029, 3.2872, 0.2046
3.2278, 0.2047, 3.2922, 0.2073
3.2028, 0.2070, 3.3374, 0.1894
3.2137, 0.2031, 3.2837, 0.2011
3.2000, 0.2098, 3.2249, 0.2081
3.2030, 0.2084, 3.3091, 0.1992
3.1892, 0.2103, 3.3069, 0.1961
3.1984, 0.2061, 3.2677, 0.1984
3.1879, 0.2136, 3.3024, 0.1921
3.1698, 0.2143, 3.2625, 0.2048
3.1698, 0.2163, 3.2991, 0.2009
3.1451, 0.2172, 3.3309, 0.1948
3.1588, 0.2183, 3.3075, 0.2021
3.1446, 0.2177, 3.2908, 0.1963
3.1629, 0.2187, 3.2918, 0.1932
3.1337, 0.2198, 3.2534, 0.2102
3.1319, 0.2211, 3.2553, 0.2098
3.1221, 0.2206, 3.2810, 0.2029
3.1261, 0.2213, 3.2700, 0.2065
3.1151, 0.2217, 3.2787, 0.2029
3.1006, 0.2255, 3.2878, 0.2009